"country","year","age_group","gender","education","status","sector_group","population"
"Kenya",2015,"25-35","female","primary","employed","Agriculture",243636
"Kenya",2015,"25-35","female","primary","employed","Industry",66268
"Kenya",2015,"25-35","female","primary","employed","Services",194008
"Kenya",2015,"25-35","female","primary","inactive",NA,43224
"Kenya",2015,"25-35","female","primary","student",NA,9208
"Kenya",2015,"25-35","female","primary","unemployed",NA,4947
"Kenya",2015,"25-35","female","secondary","employed","Agriculture",719297
"Kenya",2015,"25-35","female","secondary","employed","Industry",132914
"Kenya",2015,"25-35","female","secondary","employed","Services",1083977
"Kenya",2015,"25-35","female","secondary","inactive",NA,178356
"Kenya",2015,"25-35","female","secondary","student",NA,46022
"Kenya",2015,"25-35","female","secondary","unemployed",NA,32394
"Kenya",2015,"25-35","female","tertiary","employed","Agriculture",70282
"Kenya",2015,"25-35","female","tertiary","employed","Industry",29840
"Kenya",2015,"25-35","female","tertiary","employed","Services",219168
"Kenya",2015,"25-35","female","tertiary","inactive",NA,5125
"Kenya",2015,"25-35","female","tertiary","student",NA,36397
"Kenya",2015,"25-35","female","tertiary","unemployed",NA,19937
"Kenya",2015,"25-35","male","no","employed","Agriculture",340228
"Kenya",2015,"25-35","male","no","employed","Industry",72271
"Kenya",2015,"25-35","male","no","employed","Services",149288
"Kenya",2015,"25-35","male","no","inactive",NA,84118
"Kenya",2015,"25-35","male","no","student",NA,9061
"Kenya",2015,"25-35","male","no","unemployed",NA,7573
"Kenya",2015,"25-35","male","primary","employed","Agriculture",194339
"Kenya",2015,"25-35","male","primary","employed","Industry",101304
"Kenya",2015,"25-35","male","primary","employed","Services",174840
"Kenya",2015,"25-35","male","primary","inactive",NA,6541
"Kenya",2015,"25-35","male","primary","student",NA,8284
"Kenya",2015,"25-35","male","primary","unemployed",NA,3291
"Kenya",2015,"25-35","male","secondary","employed","Agriculture",560696
"Kenya",2015,"25-35","male","secondary","employed","Industry",434333
"Kenya",2015,"25-35","male","secondary","employed","Services",1164428
"Kenya",2015,"25-35","male","secondary","inactive",NA,12880
"Kenya",2015,"25-35","male","secondary","student",NA,76614
"Kenya",2015,"25-35","male","secondary","unemployed",NA,25822
"Kenya",2015,"25-35","male","tertiary","employed","Agriculture",64521
"Kenya",2015,"25-35","male","tertiary","employed","Industry",51973
"Kenya",2015,"25-35","male","tertiary","employed","Services",229410
"Kenya",2015,"25-35","male","tertiary","student",NA,54585
"Kenya",2015,"25-35","male","tertiary","unemployed",NA,11853
"Kenya",2016,"15-24","female","no","employed","Agriculture",240600
"Kenya",2016,"15-24","female","no","employed","Industry",34679
"Kenya",2016,"15-24","female","no","employed","Services",122088
"Kenya",2016,"15-24","female","no","inactive",NA,312440
"Kenya",2016,"15-24","female","no","student",NA,3247
"Kenya",2016,"15-24","female","no","unemployed",NA,19085
"Kenya",2016,"15-24","female","primary","employed","Agriculture",135021
"Kenya",2016,"15-24","female","primary","employed","Industry",38867
"Kenya",2016,"15-24","female","primary","employed","Services",153409
"Kenya",2016,"15-24","female","primary","inactive",NA,78254
"Kenya",2016,"15-24","female","primary","student",NA,378368
"Kenya",2016,"15-24","female","primary","unemployed",NA,21848
"Kenya",2016,"15-24","female","secondary","employed","Agriculture",345186
"Kenya",2016,"15-24","female","secondary","employed","Industry",88998
"Kenya",2016,"15-24","female","secondary","employed","Services",647973
"Kenya",2016,"15-24","female","secondary","inactive",NA,292737
"Kenya",2016,"15-24","female","secondary","student",NA,1414755
"Kenya",2016,"15-24","female","secondary","unemployed",NA,94338
"Kenya",2016,"15-24","female","tertiary","employed","Agriculture",8051
"Kenya",2016,"15-24","female","tertiary","employed","Industry",3215
"Kenya",2016,"15-24","female","tertiary","employed","Services",29986
"Kenya",2016,"15-24","female","tertiary","inactive",NA,1062
"Kenya",2016,"15-24","female","tertiary","student",NA,96177
"Kenya",2016,"15-24","female","tertiary","unemployed",NA,11820
"Kenya",2016,"15-24","male","no","employed","Agriculture",277080
"Kenya",2016,"15-24","male","no","employed","Industry",105141
"Kenya",2016,"15-24","male","no","employed","Services",258873
"Kenya",2016,"15-24","male","no","inactive",NA,149523
"Kenya",2016,"15-24","male","no","student",NA,38447
"Kenya",2016,"15-24","male","no","unemployed",NA,30432
"Kenya",2016,"15-24","male","primary","employed","Agriculture",76770
"Kenya",2016,"15-24","male","primary","employed","Industry",64065
"Kenya",2016,"15-24","male","primary","employed","Services",169639
"Kenya",2016,"15-24","male","primary","inactive",NA,25980
"Kenya",2016,"15-24","male","primary","student",NA,448761
"Kenya",2016,"15-24","male","primary","unemployed",NA,20878
"Kenya",2016,"15-24","male","secondary","employed","Agriculture",280206
"Kenya",2016,"15-24","male","secondary","employed","Industry",200191
"Kenya",2016,"15-24","male","secondary","employed","Services",520450
"Kenya",2016,"15-24","male","secondary","inactive",NA,88373
"Kenya",2016,"15-24","male","secondary","student",NA,1598737
"Kenya",2016,"15-24","male","secondary","unemployed",NA,95647
"Kenya",2016,"15-24","male","tertiary","employed","Agriculture",10482
"Kenya",2016,"15-24","male","tertiary","employed","Industry",3639
"Kenya",2016,"15-24","male","tertiary","employed","Services",16196
"Kenya",2016,"15-24","male","tertiary","student",NA,108047
"Kenya",2016,"15-24","male","tertiary","unemployed",NA,11014
"Kenya",2016,"25-35","female","no","employed","Agriculture",269914
"Kenya",2016,"25-35","female","no","employed","Industry",52938
"Kenya",2016,"25-35","female","no","employed","Services",146449
"Kenya",2016,"25-35","female","no","inactive",NA,217909
"Kenya",2016,"25-35","female","no","student",NA,13165
"Kenya",2016,"25-35","female","no","unemployed",NA,1974
"Kenya",2016,"25-35","female","primary","employed","Agriculture",240000
"Kenya",2016,"25-35","female","primary","employed","Industry",69357
"Kenya",2016,"25-35","female","primary","employed","Services",195037
"Kenya",2016,"25-35","female","primary","inactive",NA,43652
"Kenya",2016,"25-35","female","primary","student",NA,9215
"Kenya",2016,"25-35","female","primary","unemployed",NA,4821
"Kenya",2016,"25-35","female","secondary","employed","Agriculture",724022
"Kenya",2016,"25-35","female","secondary","employed","Industry",141976
"Kenya",2016,"25-35","female","secondary","employed","Services",1131488
"Kenya",2016,"25-35","female","secondary","inactive",NA,186116
"Kenya",2016,"25-35","female","secondary","student",NA,47488
"Kenya",2016,"25-35","female","secondary","unemployed",NA,32836
"Kenya",2016,"25-35","female","tertiary","employed","Agriculture",71276
"Kenya",2016,"25-35","female","tertiary","employed","Industry",32503
"Kenya",2016,"25-35","female","tertiary","employed","Services",234826
"Kenya",2016,"25-35","female","tertiary","inactive",NA,5476
"Kenya",2016,"25-35","female","tertiary","student",NA,38519
"Kenya",2016,"25-35","female","tertiary","unemployed",NA,20582
"Kenya",2016,"25-35","male","no","employed","Agriculture",328818
"Kenya",2016,"25-35","male","no","employed","Industry",69785
"Kenya",2016,"25-35","male","no","employed","Services",142733
"Kenya",2016,"25-35","male","no","inactive",NA,80170
"Kenya",2016,"25-35","male","no","student",NA,8738
"Kenya",2016,"25-35","male","no","unemployed",NA,7193
"Kenya",2016,"25-35","male","primary","employed","Agriculture",195648
"Kenya",2016,"25-35","male","primary","employed","Industry",102025
"Kenya",2016,"25-35","male","primary","employed","Services",173577
"Kenya",2016,"25-35","male","primary","inactive",NA,6482
"Kenya",2016,"25-35","male","primary","student",NA,8306
"Kenya",2016,"25-35","male","primary","unemployed",NA,3255
"Kenya",2016,"25-35","male","secondary","employed","Agriculture",575753
"Kenya",2016,"25-35","male","secondary","employed","Industry",449304
"Kenya",2016,"25-35","male","secondary","employed","Services",1193406
"Kenya",2016,"25-35","male","secondary","inactive",NA,13149
"Kenya",2016,"25-35","male","secondary","student",NA,78856
"Kenya",2016,"25-35","male","secondary","unemployed",NA,26331
"Kenya",2016,"25-35","male","tertiary","employed","Agriculture",68295
"Kenya",2016,"25-35","male","tertiary","employed","Industry",55235
"Kenya",2016,"25-35","male","tertiary","employed","Services",240480
"Kenya",2016,"25-35","male","tertiary","student",NA,57540
"Kenya",2016,"25-35","male","tertiary","unemployed",NA,12302
"Kenya",2017,"15-24","female","no","employed","Agriculture",190515
"Kenya",2017,"15-24","female","no","employed","Industry",30120
"Kenya",2017,"15-24","female","no","employed","Services",96127
"Kenya",2017,"15-24","female","no","inactive",NA,278004
"Kenya",2017,"15-24","female","no","student",NA,66658
"Kenya",2017,"15-24","female","no","unemployed",NA,14599
"Kenya",2017,"15-24","female","primary","employed","Agriculture",125690
"Kenya",2017,"15-24","female","primary","employed","Industry",37312
"Kenya",2017,"15-24","female","primary","employed","Services",139938
"Kenya",2017,"15-24","female","primary","inactive",NA,80238
"Kenya",2017,"15-24","female","primary","student",NA,366628
"Kenya",2017,"15-24","female","primary","unemployed",NA,23614
"Kenya",2017,"15-24","female","secondary","employed","Agriculture",369560
"Kenya",2017,"15-24","female","secondary","employed","Industry",98679
"Kenya",2017,"15-24","female","secondary","employed","Services",676679
"Kenya",2017,"15-24","female","secondary","inactive",NA,375708
"Kenya",2017,"15-24","female","secondary","student",NA,1401651
"Kenya",2017,"15-24","female","secondary","unemployed",NA,128170
"Kenya",2017,"15-24","female","tertiary","employed","Agriculture",11896
"Kenya",2017,"15-24","female","tertiary","employed","Industry",4800
"Kenya",2017,"15-24","female","tertiary","employed","Services",41879
"Kenya",2017,"15-24","female","tertiary","inactive",NA,16313
"Kenya",2017,"15-24","female","tertiary","student",NA,69669
"Kenya",2017,"15-24","female","tertiary","unemployed",NA,20652
"Kenya",2017,"15-24","male","no","employed","Agriculture",214441
"Kenya",2017,"15-24","male","no","employed","Industry",81427
"Kenya",2017,"15-24","male","no","employed","Services",202396
"Kenya",2017,"15-24","male","no","inactive",NA,146009
"Kenya",2017,"15-24","male","no","student",NA,133775
"Kenya",2017,"15-24","male","no","unemployed",NA,20530
"Kenya",2017,"15-24","male","primary","employed","Agriculture",71807
"Kenya",2017,"15-24","male","primary","employed","Industry",59658
"Kenya",2017,"15-24","male","primary","employed","Services",157164
"Kenya",2017,"15-24","male","primary","inactive",NA,28116
"Kenya",2017,"15-24","male","primary","student",NA,431458
"Kenya",2017,"15-24","male","primary","unemployed",NA,22137
"Kenya",2017,"15-24","male","secondary","employed","Agriculture",319115
"Kenya",2017,"15-24","male","secondary","employed","Industry",220641
"Kenya",2017,"15-24","male","secondary","employed","Services",560185
"Kenya",2017,"15-24","male","secondary","inactive",NA,146219
"Kenya",2017,"15-24","male","secondary","student",NA,1590919
"Kenya",2017,"15-24","male","secondary","unemployed",NA,121856
"Kenya",2017,"15-24","male","tertiary","employed","Agriculture",18542
"Kenya",2017,"15-24","male","tertiary","employed","Industry",5690
"Kenya",2017,"15-24","male","tertiary","employed","Services",24344
"Kenya",2017,"15-24","male","tertiary","inactive",NA,8496
"Kenya",2017,"15-24","male","tertiary","student",NA,85980
"Kenya",2017,"15-24","male","tertiary","unemployed",NA,22201
"Kenya",2017,"25-35","female","no","employed","Agriculture",265614
"Kenya",2017,"25-35","female","no","employed","Industry",56154
"Kenya",2017,"25-35","female","no","employed","Services",148106
"Kenya",2017,"25-35","female","no","inactive",NA,177340
"Kenya",2017,"25-35","female","no","student",NA,13150
"Kenya",2017,"25-35","female","no","unemployed",NA,3367
"Kenya",2017,"25-35","female","primary","employed","Agriculture",231604
"Kenya",2017,"25-35","female","primary","employed","Industry",72206
"Kenya",2017,"25-35","female","primary","employed","Services",192962
"Kenya",2017,"25-35","female","primary","inactive",NA,47106
"Kenya",2017,"25-35","female","primary","student",NA,9165
"Kenya",2017,"25-35","female","primary","unemployed",NA,7202
"Kenya",2017,"25-35","female","secondary","employed","Agriculture",711874
"Kenya",2017,"25-35","female","secondary","employed","Industry",150384
"Kenya",2017,"25-35","female","secondary","employed","Services",1162408
"Kenya",2017,"25-35","female","secondary","inactive",NA,205009
"Kenya",2017,"25-35","female","secondary","student",NA,48724
"Kenya",2017,"25-35","female","secondary","unemployed",NA,44828
"Kenya",2017,"25-35","female","tertiary","employed","Agriculture",69923
"Kenya",2017,"25-35","female","tertiary","employed","Industry",34631
"Kenya",2017,"25-35","female","tertiary","employed","Services",246660
"Kenya",2017,"25-35","female","tertiary","inactive",NA,9206
"Kenya",2017,"25-35","female","tertiary","student",NA,39765
"Kenya",2017,"25-35","female","tertiary","unemployed",NA,23283
"Kenya",2017,"25-35","male","no","employed","Agriculture",320519
"Kenya",2017,"25-35","male","no","employed","Industry",68216
"Kenya",2017,"25-35","male","no","employed","Services",138352
"Kenya",2017,"25-35","male","no","inactive",NA,66212
"Kenya",2017,"25-35","male","no","student",NA,8715
"Kenya",2017,"25-35","male","no","unemployed",NA,7630
"Kenya",2017,"25-35","male","primary","employed","Agriculture",192338
"Kenya",2017,"25-35","male","primary","employed","Industry",100817
"Kenya",2017,"25-35","male","primary","employed","Services",169242
"Kenya",2017,"25-35","male","primary","inactive",NA,9826
"Kenya",2017,"25-35","male","primary","student",NA,8597
"Kenya",2017,"25-35","male","primary","unemployed",NA,6828
"Kenya",2017,"25-35","male","secondary","employed","Agriculture",576877
"Kenya",2017,"25-35","male","secondary","employed","Industry",456354
"Kenya",2017,"25-35","male","secondary","employed","Services",1199780
"Kenya",2017,"25-35","male","secondary","inactive",NA,29504
"Kenya",2017,"25-35","male","secondary","student",NA,83243
"Kenya",2017,"25-35","male","secondary","unemployed",NA,41173
"Kenya",2017,"25-35","male","tertiary","employed","Agriculture",71463
"Kenya",2017,"25-35","male","tertiary","employed","Industry",58273
"Kenya",2017,"25-35","male","tertiary","employed","Services",249930
"Kenya",2017,"25-35","male","tertiary","student",NA,57023
"Kenya",2017,"25-35","male","tertiary","unemployed",NA,16340
"Kenya",2018,"15-24","female","no","employed","Agriculture",151550
"Kenya",2018,"15-24","female","no","employed","Industry",27339
"Kenya",2018,"15-24","female","no","employed","Services",77119
"Kenya",2018,"15-24","female","no","inactive",NA,249103
"Kenya",2018,"15-24","female","no","student",NA,104469
"Kenya",2018,"15-24","female","no","unemployed",NA,11275
"Kenya",2018,"15-24","female","primary","employed","Agriculture",113438
"Kenya",2018,"15-24","female","primary","employed","Industry",36120
"Kenya",2018,"15-24","female","primary","employed","Services",125793
"Kenya",2018,"15-24","female","primary","inactive",NA,80636
"Kenya",2018,"15-24","female","primary","student",NA,361854
"Kenya",2018,"15-24","female","primary","unemployed",NA,23688
"Kenya",2018,"15-24","female","secondary","employed","Agriculture",382952
"Kenya",2018,"15-24","female","secondary","employed","Industry",107338
"Kenya",2018,"15-24","female","secondary","employed","Services",697762
"Kenya",2018,"15-24","female","secondary","inactive",NA,462784
"Kenya",2018,"15-24","female","secondary","student",NA,1402358
"Kenya",2018,"15-24","female","secondary","unemployed",NA,160027
"Kenya",2018,"15-24","female","tertiary","employed","Agriculture",15978
"Kenya",2018,"15-24","female","tertiary","employed","Industry",6850
"Kenya",2018,"15-24","female","tertiary","employed","Services",54038
"Kenya",2018,"15-24","female","tertiary","inactive",NA,33307
"Kenya",2018,"15-24","female","tertiary","student",NA,38048
"Kenya",2018,"15-24","female","tertiary","unemployed",NA,31398
"Kenya",2018,"15-24","male","no","employed","Agriculture",166606
"Kenya",2018,"15-24","male","no","employed","Industry",64494
"Kenya",2018,"15-24","male","no","employed","Services",162898
"Kenya",2018,"15-24","male","no","inactive",NA,139117
"Kenya",2018,"15-24","male","no","student",NA,191316
"Kenya",2018,"15-24","male","no","unemployed",NA,14147
"Kenya",2018,"15-24","male","primary","employed","Agriculture",63027
"Kenya",2018,"15-24","male","primary","employed","Industry",53878
"Kenya",2018,"15-24","male","primary","employed","Services",140643
"Kenya",2018,"15-24","male","primary","inactive",NA,28389
"Kenya",2018,"15-24","male","primary","student",NA,427924
"Kenya",2018,"15-24","male","primary","unemployed",NA,21262
"Kenya",2018,"15-24","male","secondary","employed","Agriculture",340655
"Kenya",2018,"15-24","male","secondary","employed","Industry",237237
"Kenya",2018,"15-24","male","secondary","employed","Services",586351
"Kenya",2018,"15-24","male","secondary","inactive",NA,213552
"Kenya",2018,"15-24","male","secondary","student",NA,1610778
"Kenya",2018,"15-24","male","secondary","unemployed",NA,142176
"Kenya",2018,"15-24","male","tertiary","employed","Agriculture",28162
"Kenya",2018,"15-24","male","tertiary","employed","Industry",7990
"Kenya",2018,"15-24","male","tertiary","employed","Services",32823
"Kenya",2018,"15-24","male","tertiary","inactive",NA,22114
"Kenya",2018,"15-24","male","tertiary","student",NA,53313
"Kenya",2018,"15-24","male","tertiary","unemployed",NA,36241
"Kenya",2018,"25-35","female","no","employed","Agriculture",255985
"Kenya",2018,"25-35","female","no","employed","Industry",59532
"Kenya",2018,"25-35","female","no","employed","Services",146695
"Kenya",2018,"25-35","female","no","inactive",NA,146055
"Kenya",2018,"25-35","female","no","student",NA,12891
"Kenya",2018,"25-35","female","no","unemployed",NA,4583
"Kenya",2018,"25-35","female","primary","employed","Agriculture",223545
"Kenya",2018,"25-35","female","primary","employed","Industry",76298
"Kenya",2018,"25-35","female","primary","employed","Services",191510
"Kenya",2018,"25-35","female","primary","inactive",NA,48379
"Kenya",2018,"25-35","female","primary","student",NA,9146
"Kenya",2018,"25-35","female","primary","unemployed",NA,9404
"Kenya",2018,"25-35","female","secondary","employed","Agriculture",699789
"Kenya",2018,"25-35","female","secondary","employed","Industry",161058
"Kenya",2018,"25-35","female","secondary","employed","Services",1197708
"Kenya",2018,"25-35","female","secondary","inactive",NA,215596
"Kenya",2018,"25-35","female","secondary","student",NA,50110
"Kenya",2018,"25-35","female","secondary","unemployed",NA,56794
"Kenya",2018,"25-35","female","tertiary","employed","Agriculture",68620
"Kenya",2018,"25-35","female","tertiary","employed","Industry",37048
"Kenya",2018,"25-35","female","tertiary","employed","Services",258807
"Kenya",2018,"25-35","female","tertiary","inactive",NA,11562
"Kenya",2018,"25-35","female","tertiary","student",NA,41014
"Kenya",2018,"25-35","female","tertiary","unemployed",NA,26232
"Kenya",2018,"25-35","male","no","employed","Agriculture",308873
"Kenya",2018,"25-35","male","no","employed","Industry",66799
"Kenya",2018,"25-35","male","no","employed","Services",133226
"Kenya",2018,"25-35","male","no","inactive",NA,56751
"Kenya",2018,"25-35","male","no","student",NA,8734
"Kenya",2018,"25-35","male","no","unemployed",NA,7966
"Kenya",2018,"25-35","male","primary","employed","Agriculture",188378
"Kenya",2018,"25-35","male","primary","employed","Industry",100612
"Kenya",2018,"25-35","male","primary","employed","Services",165519
"Kenya",2018,"25-35","male","primary","inactive",NA,12426
"Kenya",2018,"25-35","male","primary","student",NA,8867
"Kenya",2018,"25-35","male","primary","unemployed",NA,10148
"Kenya",2018,"25-35","male","secondary","employed","Agriculture",574498
"Kenya",2018,"25-35","male","secondary","employed","Industry",467087
"Kenya",2018,"25-35","male","secondary","employed","Services",1208156
"Kenya",2018,"25-35","male","secondary","inactive",NA,42448
"Kenya",2018,"25-35","male","secondary","student",NA,88024
"Kenya",2018,"25-35","male","secondary","unemployed",NA,55583
"Kenya",2018,"25-35","male","tertiary","employed","Agriculture",73917
"Kenya",2018,"25-35","male","tertiary","employed","Industry",61553
"Kenya",2018,"25-35","male","tertiary","employed","Services",259656
"Kenya",2018,"25-35","male","tertiary","student",NA,56090
"Kenya",2018,"25-35","male","tertiary","unemployed",NA,20562
"Kenya",2019,"15-24","female","no","employed","Agriculture",118877
"Kenya",2019,"15-24","female","no","employed","Industry",24965
"Kenya",2019,"15-24","female","no","employed","Services",60984
"Kenya",2019,"15-24","female","no","inactive",NA,222690
"Kenya",2019,"15-24","female","no","student",NA,130424
"Kenya",2019,"15-24","female","no","unemployed",NA,8666
"Kenya",2019,"15-24","female","primary","employed","Agriculture",100368
"Kenya",2019,"15-24","female","primary","employed","Industry",34848
"Kenya",2019,"15-24","female","primary","employed","Services",110738
"Kenya",2019,"15-24","female","primary","inactive",NA,80210
"Kenya",2019,"15-24","female","primary","student",NA,361253
"Kenya",2019,"15-24","female","primary","unemployed",NA,22724
"Kenya",2019,"15-24","female","secondary","employed","Agriculture",391096
"Kenya",2019,"15-24","female","secondary","employed","Industry",115279
"Kenya",2019,"15-24","female","secondary","employed","Services",710355
"Kenya",2019,"15-24","female","secondary","inactive",NA,552979
"Kenya",2019,"15-24","female","secondary","student",NA,1411007
"Kenya",2019,"15-24","female","secondary","unemployed",NA,191690
"Kenya",2019,"15-24","female","tertiary","employed","Agriculture",20414
"Kenya",2019,"15-24","female","tertiary","employed","Industry",9392
"Kenya",2019,"15-24","female","tertiary","employed","Services",66760
"Kenya",2019,"15-24","female","tertiary","inactive",NA,51591
"Kenya",2019,"15-24","female","tertiary","student",NA,979
"Kenya",2019,"15-24","female","tertiary","unemployed",NA,44606
"Kenya",2019,"15-24","male","no","employed","Agriculture",126635
"Kenya",2019,"15-24","male","no","employed","Industry",49484
"Kenya",2019,"15-24","male","no","employed","Services",130570
"Kenya",2019,"15-24","male","no","inactive",NA,129710
"Kenya",2019,"15-24","male","no","student",NA,233271
"Kenya",2019,"15-24","male","no","unemployed",NA,9768
"Kenya",2019,"15-24","male","primary","employed","Agriculture",53291
"Kenya",2019,"15-24","male","primary","employed","Industry",46264
"Kenya",2019,"15-24","male","primary","employed","Services",122918
"Kenya",2019,"15-24","male","primary","inactive",NA,27885
"Kenya",2019,"15-24","male","primary","student",NA,430712
"Kenya",2019,"15-24","male","primary","unemployed",NA,19344
"Kenya",2019,"15-24","male","secondary","employed","Agriculture",355011
"Kenya",2019,"15-24","male","secondary","employed","Industry",248120
"Kenya",2019,"15-24","male","secondary","employed","Services",600746
"Kenya",2019,"15-24","male","secondary","inactive",NA,290960
"Kenya",2019,"15-24","male","secondary","student",NA,1645076
"Kenya",2019,"15-24","male","secondary","unemployed",NA,158540
"Kenya",2019,"15-24","male","tertiary","employed","Agriculture",40615
"Kenya",2019,"15-24","male","tertiary","employed","Industry",10885
"Kenya",2019,"15-24","male","tertiary","employed","Services",42944
"Kenya",2019,"15-24","male","tertiary","inactive",NA,38759
"Kenya",2019,"15-24","male","tertiary","student",NA,8380
"Kenya",2019,"15-24","male","tertiary","unemployed",NA,53965
"Kenya",2019,"25-35","female","no","employed","Agriculture",244328
"Kenya",2019,"25-35","female","no","employed","Industry",62591
"Kenya",2019,"25-35","female","no","employed","Services",142502
"Kenya",2019,"25-35","female","no","inactive",NA,120661
"Kenya",2019,"25-35","female","no","student",NA,12469
"Kenya",2019,"25-35","female","no","unemployed",NA,5719
"Kenya",2019,"25-35","female","primary","employed","Agriculture",217003
"Kenya",2019,"25-35","female","primary","employed","Industry",80887
"Kenya",2019,"25-35","female","primary","employed","Services",189478
"Kenya",2019,"25-35","female","primary","inactive",NA,48162
"Kenya",2019,"25-35","female","primary","student",NA,9158
"Kenya",2019,"25-35","female","primary","unemployed",NA,11676
"Kenya",2019,"25-35","female","secondary","employed","Agriculture",690496
"Kenya",2019,"25-35","female","secondary","employed","Industry",173466
"Kenya",2019,"25-35","female","secondary","employed","Services",1231709
"Kenya",2019,"25-35","female","secondary","inactive",NA,220013
"Kenya",2019,"25-35","female","secondary","student",NA,51607
"Kenya",2019,"25-35","female","secondary","unemployed",NA,69954
"Kenya",2019,"25-35","female","tertiary","employed","Agriculture",67414
"Kenya",2019,"25-35","female","tertiary","employed","Industry",39632
"Kenya",2019,"25-35","female","tertiary","employed","Services",270619
"Kenya",2019,"25-35","female","tertiary","inactive",NA,12986
"Kenya",2019,"25-35","female","tertiary","student",NA,42224
"Kenya",2019,"25-35","female","tertiary","unemployed",NA,29830
"Kenya",2019,"25-35","male","no","employed","Agriculture",297676
"Kenya",2019,"25-35","male","no","employed","Industry",64380
"Kenya",2019,"25-35","male","no","employed","Services",127147
"Kenya",2019,"25-35","male","no","inactive",NA,49143
"Kenya",2019,"25-35","male","no","student",NA,8681
"Kenya",2019,"25-35","male","no","unemployed",NA,8356
"Kenya",2019,"25-35","male","primary","employed","Agriculture",185999
"Kenya",2019,"25-35","male","primary","employed","Industry",99549
"Kenya",2019,"25-35","male","primary","employed","Services",161587
"Kenya",2019,"25-35","male","primary","inactive",NA,14438
"Kenya",2019,"25-35","male","primary","student",NA,9214
"Kenya",2019,"25-35","male","primary","unemployed",NA,13485
"Kenya",2019,"25-35","male","secondary","employed","Agriculture",576959
"Kenya",2019,"25-35","male","secondary","employed","Industry",473229
"Kenya",2019,"25-35","male","secondary","employed","Services",1216184
"Kenya",2019,"25-35","male","secondary","inactive",NA,52891
"Kenya",2019,"25-35","male","secondary","student",NA,93128
"Kenya",2019,"25-35","male","secondary","unemployed",NA,70871
"Kenya",2019,"25-35","male","tertiary","employed","Agriculture",76884
"Kenya",2019,"25-35","male","tertiary","employed","Industry",64255
"Kenya",2019,"25-35","male","tertiary","employed","Services",268941
"Kenya",2019,"25-35","male","tertiary","student",NA,54640
